cust_id,transaction_type,transaction_date,subscription_type,subscription_price
1,initial,2020-09-01,BASIC,33
2,initial,2022-03-01,BASIC,53
3,initial,2020-10-01,MAX,99
4,initial,2022-05-01,PRO,85
5,initial,2022-08-01,BASIC,53
6,initial,2022-06-01,MAX,119
7,initial,2022-02-01,MAX,119
8,initial,2021-01-01,BASIC,43
9,initial,2020-08-01,BASIC,33
10,initial,2022-09-01,MAX,119
11,initial,2020-05-01,BASIC,33
12,initial,2020-09-01,BASIC,33
13,initial,2022-06-01,BASIC,53
14,initial,2020-03-01,BASIC,33
15,initial,2022-06-01,PRO,85
16,initial,2020-12-01,PRO,65
17,initial,2021-12-01,BASIC,43
18,initial,2021-11-01,BASIC,43
19,initial,2022-09-01,PRO,85
20,initial,2022-11-01,PRO,85
21,initial,2021-09-01,PRO,75
22,initial,2022-06-01,BASIC,53
23,initial,2020-12-01,MAX,99
24,initial,2021-03-01,MAX,109
25,initial,2020-12-01,MAX,99
26,initial,2021-02-01,BASIC,43
27,initial,2020-12-01,BASIC,33
28,initial,2022-07-01,PRO,85
29,initial,2020-06-01,PRO,65
30,initial,2022-07-01,PRO,85
31,initial,2021-05-01,PRO,75
32,initial,2022-04-01,MAX,119
33,initial,2021-09-01,BASIC,43
34,initial,2022-02-01,BASIC,53
35,initial,2022-05-01,PRO,85
36,initial,2022-10-01,MAX,119
37,initial,2020-02-01,PRO,65
38,initial,2021-06-01,PRO,75
39,initial,2020-08-01,PRO,65
40,initial,2020-12-01,MAX,99
41,initial,2021-08-01,MAX,109
42,initial,2021-06-01,BASIC,43
43,initial,2020-04-01,MAX,99
44,initial,2021-11-01,PRO,75
45,initial,2022-02-01,PRO,85
46,initial,2021-10-01,PRO,75
47,initial,2020-10-01,BASIC,33
48,initial,2020-05-01,MAX,99
49,initial,2022-09-01,MAX,119
50,initial,2022-06-01,MAX,119
51,initial,2021-12-01,BASIC,43
52,initial,2021-12-01,MAX,109
53,initial,2020-06-01,PRO,65
54,initial,2022-07-01,PRO,85
55,initial,2022-01-01,BASIC,53
56,initial,2020-05-01,PRO,65
57,initial,2022-03-01,PRO,85
58,initial,2022-01-01,BASIC,53
59,initial,2022-01-01,MAX,119
60,initial,2020-08-01,BASIC,33
61,initial,2022-06-01,PRO,85
62,initial,2021-03-01,PRO,75
63,initial,2020-08-01,MAX,99
64,initial,2020-02-01,MAX,99
65,initial,2021-06-01,BASIC,43
66,initial,2020-11-01,PRO,65
67,initial,2022-10-01,PRO,85
